,Element,Fit type,Peak number,Peak type,Energy (keV),Resolution,Min of range,Max of range,Mean,A,Sigma,Error on mean,a,b,c,chisq,Reduced chisq,Probchisq
48,Sodium22,Gauss,1,Zoom,511,0.005280410939995192,3585.229381825823,3617.9646884882186,3601.6000156520945,143389.89355236347,7.884227614774445,1,412.91755677341877,0.0,0.0,24.72424216918307,0.8241414056394357,73.83192033003954
49,Sodium22,Linear,1,Zoom,511,0.00527778053572491,3585.229381825823,3617.9646884882186,3601.5500218301954,143245.5911440879,7.880204781302663,1,-9068.07347040167,2.6335645784794504,0.0,22.757164099149566,0.7585721366383189,82.5109644022287
50,Sodium22,Quad,1,Zoom,511,0.004727376129005852,3585.229381825823,3617.9646884882186,3601.5522230283777,97478.8574629003,7.038438759428006,1,-66437856.36525941,36892.70961582951,-5.12143131737069,21.244577072135097,0.70815256907117,88.0084563428488
51,Sodium22,Gauss,2,Zoom,1274,0.0015323238619999043,8972.003691618938,8995.14549181124,8983.579053537198,33986.211108831194,5.651215582889005,1,77.84760493319224,0.0,0.0,9.378596853100587,0.446599850147647,98.59086463511862
52,Sodium22,Linear,2,Zoom,1274,0.0015374004285447624,8972.003691618938,8995.14549181124,8983.531739161881,34231.10565142222,5.670572136421711,1,-14480.031124590065,1.619426859310675,0.0,9.410196316914966,0.4481045865197603,98.56018726784865
53,Sodium22,Quad,2,Zoom,1274,0.0014343147594673437,8972.003691618938,8995.14549181124,8983.517412549569,26700.79789607457,5.277514516532422,1,-175921793.40009314,39163.4262783512,-2.179618985224904,9.553404764802504,0.4549240364191669,98.41484656146685
54,Cobalt60,Gauss,1,Full,1173,0.0016856283687671668,8250.0,8290.0,8269.534896246021,199592.09237100018,5.726221436285567,1,152.9847355509781,0.0,0.0,54.036018786612175,1.385538943246466,5.523484716193982
55,Cobalt60,Linear,1,Full,1173,0.0016854473835719284,8250.0,8290.0,8269.539419079834,199557.7251862731,5.725586062770791,1,5793.278615909092,-0.6819177751543596,0.0,39.05847692697023,1.001499408383852,46.72499702978944
56,Cobalt60,Quad,1,Full,1173,0.001679730184711878,8250.0,8290.0,8269.538757736998,197953.7319802075,5.705515025486145,1,-14585306.873696854,3528.1188082868334,-0.21335566928393868,37.650476404200056,0.9653968308769245,53.140717418593155
57,Cobalt60,Gauss,2,Full,1332,0.001541676365897626,9370.0,9415.0,9392.05430146845,177012.35534848802,5.954490502444384,1,31.456682481761064,0.0,0.0,173.52192964581826,3.9436802192231424,0.0
58,Cobalt60,Linear,2,Full,1332,0.001541485666475797,9370.0,9415.0,9392.061096408384,176977.6719484911,5.9537302780279795,1,7596.4577127824,-0.8053498634302741,0.0,36.11096033645036,0.8207036440102354,79.53110999265752
59,Cobalt60,Quad,2,Full,1332,0.0015414748331196203,9370.0,9415.0,9392.061095188723,176974.86301149733,5.953687090075523,1,-18548.510959736435,4.761999399478012,-0.00029637866574942594,36.032914938248325,0.8189298849601893,79.79963183430499
60,Cobalt60,Gauss,1,Zoom,1173,0.0016682609157201039,8258.08245337345,8280.987339118592,8269.535894324466,195474.45039496318,5.665250530160196,1,309.28651096122366,0.0,0.0,18.657736077753928,0.9328868038876964,54.416310782090285
61,Cobalt60,Linear,1,Zoom,1173,0.0016679183532103644,8258.08245337345,8280.987339118592,8269.50987392409,195391.59718548207,5.664047917144179,1,-42886.605230209534,5.223892789718972,0.0,17.24192841137612,0.862096420568806,63.72129436990641
62,Cobalt60,Quad,1,Zoom,1173,0.0016418170654382714,8258.08245337345,8280.987339118592,8269.509898151526,184130.91077804434,5.572415645239802,1,-220868241.4554969,53412.49297346055,-3.2291681922957385,17.021184405998344,0.8510592202999172,65.15976379163439
63,Cobalt60,Gauss,2,Zoom,1332,0.0015442797696925794,9380.145320463562,9403.963282473338,9392.053407339841,177562.31382286252,5.9648689945227185,1,12.486195556974383,0.0,0.0,11.118496905588344,0.5294522335994449,96.0429181796403
64,Cobalt60,Linear,2,Zoom,1332,0.001544100581972266,9380.145320463562,9403.963282473338,9392.042243021455,177518.11284439583,5.96415466082752,1,-16468.88894806741,1.7549983734812584,0.0,10.887904289181268,0.5184716328181557,96.49255464176713
65,Cobalt60,Quad,2,Zoom,1332,0.001632403199427536,9380.145320463562,9403.963282473338,9392.041685194758,219849.98226806716,6.3161738433657755,1,847689475.1240346,-180514.5819810542,9.610074806112925,10.953151200965687,0.5215786286174137,96.36914053984782
